File,Age,Gender,Sleep_Hours,Energy_Level,Strategy,Total_Accuracy_%,Avg_RT_ms,Questions_Attempted,Q1_Correct,Q1_RT,Q2_Correct,Q2_RT,Q3_Correct,Q3_RT,Q4_Correct,Q4_RT,Q5_Correct,Q5_RT,Q6_Correct,Q6_RT,Q7_Correct,Q7_RT,Q8_Correct,Q8_RT,Q9_Correct,Q9_RT,Q10_Correct,Q10_RT,Q90_Correct,Q90_RT
research_5,39,Female,7,3,"I first rotate one side to match and select which patterns match/do not match, then I might do similar for other sides. If are all matching, I sken line by line if everything is matching in those which are fitting after the rotation of the first side/corner.",100.0,41523.09,11,1,21191.0,1,12478.0,1,12327.0,1,10081.0,1,8890.0,1,22323.0,1,9683.0,1,140891.0,1,54095.0,1,145490.0,1.0,19305.0
research_1,20,Male,7,5,,70.0,57364.0,10,1,28298.0,1,40806.0,0,19622.0,1,45110.0,1,19411.0,0,14962.0,0,83971.0,1,57998.0,1,106292.0,1,157170.0,,
research_13,20,Female,6,8,Смотрела только на края ,70.0,47839.1,10,1,80671.0,1,75034.0,0,29805.0,0,66865.0,1,41789.0,1,20218.0,1,40093.0,1,29640.0,0,43237.0,1,51039.0,,
research_21,18,Female,12,10,i rotated my phone and focused on one block and then looked around the one block for other colors to see if they match the original ,90.0,63009.0,10,1,30083.0,1,64795.0,1,66973.0,1,49842.0,1,96690.0,1,25696.0,1,59567.0,0,39485.0,1,78382.0,1,118577.0,,
research_26,21,Male,7,6,Oči,50.0,24454.2,10,1,7307.0,1,12547.0,1,81104.0,0,29010.0,1,6598.0,0,16717.0,1,10569.0,0,24169.0,0,43771.0,0,12750.0,,
research_4,21,Male,7,5,I looked really hard,80.0,36925.0,10,1,16634.0,0,27737.0,1,18091.0,1,33658.0,1,28124.0,1,67377.0,1,15484.0,0,40398.0,1,51505.0,1,70242.0,,
research_32,21,Male,8,6,"i looked at first row and controlled other rows
",72.73,15106.55,11,1,17054.0,1,16556.0,1,12461.0,1,17186.0,1,11356.0,1,13953.0,1,9488.0,0,6318.0,0,18257.0,0,13166.0,1.0,30377.0
research_17,19,Female,6,3,"Mainly just visualised how the rotation of the test image would look. Then, I traced the colored boxes row by row to see what matches with the rotated image in my head ",100.0,87554.7,10,1,7766.0,1,22401.0,1,62925.0,1,51600.0,1,66904.0,1,160901.0,1,110256.0,1,156687.0,1,106169.0,1,129938.0,,
research_10,23,Female,7,7,snazila jsem se hledat kostky na krajich a ty vylucovaci metodou porovnavat,70.0,25497.2,10,0,26229.0,0,24509.0,1,26469.0,1,32361.0,1,18090.0,1,12828.0,1,12735.0,0,7973.0,1,54775.0,1,39003.0,,
research_8,21,Female,8,7,"I all questions I was selecting a few coloured boxed to use as a reference to understand how the images on the right are rotated, I then tried to select other regions to see if they match. When images got more complex I was looking at the clear squares instead, comparing the overall pattern that they were making ",60.0,40332.9,10,1,23539.0,0,11618.0,1,20221.0,1,40528.0,1,28216.0,0,45342.0,1,29258.0,0,45717.0,1,83413.0,0,75477.0,,
